G,OPS,wOBA,wRC+,고4,도루,도실,득점,루타,병살,볼넷,사구,삼진,안타,연도,연봉_만원,장타,출루,타석,타수,타율,타점,홈런,희비,희타
142,1.288,0.53,222.3,11,40,8,130,373,7,103,13,91,180,15,125000,47,0.498,595,472,0.381,140,47,7,0
124,0.973,0.438,179.8,8,21,5,77,244,16,71,6,78,137,12,18000,32,0.413,519,436,0.314,82,25,5,1
127,0.957,0.438,179.9,5,2,3,79,232,8,72,27,83,138,12,18000,22,0.433,549,443,0.312,91,23,5,2
140,1.15,0.481,181.9,6,10,3,129,377,10,78,12,161,181,15,70000,36,0.436,622,528,0.343,146,53,4,0
138,1.116,0.48,177.8,8,2,2,99,338,12,83,9,83,195,16,70000,48,0.464,618,519,0.376,144,31,7,0
133,1.044,0.457,182.2,15,4,3,80,296,8,76,5,88,163,11,18500,40,0.427,571,480,0.34,118,30,10,0
128,0.985,0.437,150.9,0,48,17,135,297,1,59,8,47,201,14,9300,58,0.438,616,543,0.37,67,7,2,4
140,1.095,0.466,180.3,5,0,1,114,368,10,63,5,130,189,20,80000,40,0.416,618,542,0.349,132,46,8,0
144,1.032,0.44,170.9,10,4,1,110,328,8,81,7,123,185,17,20000,36,0.429,636,544,0.34,115,35,4,0
130,0.923,0.416,164.7,7,20,8,85,255,8,49,21,98,142,12,28000,34,0.386,553,474,0.3,84,26,6,3
120,0.98,0.441,167.3,9,24,8,75,239,10,64,24,109,137,13,52000,18,0.429,525,434,0.316,83,28,2,1
128,1.039,0.462,181.1,4,10,2,91,271,7,92,8,96,143,13,22000,17,0.437,556,450,0.318,117,37,6,0
131,1.006,0.433,163.8,2,20,3,91,281,15,41,10,64,177,17,19500,42,0.424,543,483,0.366,78,20,4,5
126,1.01,0.463,195.6,8,3,1,61,223,11,81,11,69,151,12,150000,24,0.474,513,416,0.363,80,16,5,0
139,1.062,0.438,168.8,4,2,0,104,346,6,59,9,134,176,18,47000,37,0.405,602,527,0.334,133,44,7,0
136,0.92,0.408,147.7,3,23,2,110,274,12,74,8,68,161,20,55000,25,0.398,612,525,0.307,105,29,3,2
141,0.979,0.427,163.2,12,11,5,103,277,13,101,8,63,167,15,75000,26,0.438,630,512,0.326,121,28,9,0
142,1.026,0.442,163.5,8,0,1,98,296,15,96,11,82,176,17,150000,39,0.45,629,514,0.342,120,26,8,0
113,1.175,0.478,190.9,10,0,1,88,287,9,68,17,114,138,18,150000,20,0.457,488,400,0.345,112,43,3,0
130,1.111,0.456,167.6,10,1,5,89,294,8,70,19,107,136,17,120000,19,0.427,527,430,0.316,113,46,8,0
133,0.954,0.43,174.5,3,20,9,76,263,6,73,11,111,136,12,6200,34,0.393,560,469,0.29,105,31,7,0
133,1.013,0.431,160.5,6,6,0,84,257,13,45,13,40,157,18,60000,30,0.427,503,439,0.358,77,23,6,0
125,1.111,0.464,168.3,5,11,2,95,305,6,58,7,99,152,14,25000,36,0.422,514,443,0.343,121,37,6,0
122,0.994,0.443,154.6,7,10,3,105,260,7,80,5,78,175,14,40000,28,0.456,570,483,0.362,80,18,2,0
128,1.119,0.466,162.9,3,8,3,126,315,13,96,12,142,139,14,50000,18,0.433,571,459,0.303,124,52,4,0
125,0.969,0.424,139.2,1,25,9,118,276,7,96,1,71,154,14,25000,28,0.417,602,500,0.308,98,31,5,0
123,0.998,0.429,146.2,2,14,5,88,285,4,42,15,128,157,14,7500,33,0.4,536,477,0.329,101,30,1,1
128,0.895,0.415,148.9,6,36,7,83,236,9,64,3,88,172,13,21000,27,0.421,568,498,0.345,69,11,3,0
139,1.009,0.44,157.6,2,3,3,103,301,13,67,2,71,188,15,60000,43,0.431,598,520,0.362,116,23,8,1
124,1.003,0.453,170.8,9,10,5,70,242,6,92,0,74,158,21,21000,35,0.459,545,445,0.355,94,16,8,0
127,0.813,0.377,136.9,1,30,8,82,225,9,42,7,66,152,12,35000,37,0.362,556,499,0.305,76,11,7,1
117,0.94,0.432,162.0,1,4,2,61,204,13,54,21,73,126,13,28000,24,0.425,474,396,0.318,76,18,2,0
141,0.983,0.425,140.7,2,1,2,106,290,6,77,23,126,144,16,100000,25,0.403,606,500,0.288,106,40,6,0
125,1.0,0.428,154.3,10,17,7,103,291,8,48,12,116,173,17,35000,44,0.415,561,498,0.347,99,24,3,0
113,0.928,0.411,152.0,1,15,5,64,212,8,46,20,72,125,11,22000,26,0.402,488,403,0.31,75,20,6,13
134,1.035,0.442,162.7,3,8,2,107,309,9,71,0,107,160,16,5000,35,0.407,568,492,0.325,124,37,5,0
